"";"names_variable_clean";"level";"bilateral";"unilateral";"p";"test"
"1";"";"n";"808";"17382";"";""
"2";"diagnostic modality";"Non-palpable";"498 (64.3)";"7149 (61.8)";"0.189";""
"3";"";"Palpable";"277 (35.7)";"4415 (38.2)";"";""
"4";"clinical size";"";"31.1 (21.0)";"27.9 (20.2)";"0.002";""
"5";"clinical T stage";"T0 or pTis";"373 (46.6)";"4681 (27.7)";"<0.001";""
"6";"";"T1";"201 (25.1)";"7206 (42.6)";"";""
"7";"";"T2";"169 (21.1)";"3838 (22.7)";"";""
"8";"";"T3";"34 (4.2)";"779 (4.6)";"";""
"9";"";"T4";"23 (2.9)";"414 (2.4)";"";""
"10";"clinical N stage";"cN0";"720 (89.3)";"15187 (87.5)";"0.139";""
"11";"";"cN1/N2/N3";"86 (10.7)";"2168 (12.5)";"";""
"12";"pathological T stage";"pT0 or pTis";"95 (14.4)";"1995 (13.4)";"0.660";""
"13";"";"pT1";"413 (62.6)";"9680 (64.8)";"";""
"14";"";"pT2";"136 (20.6)";"2986 (20.0)";"";""
"15";"";"pT3";"15 (2.3)";"251 (1.7)";"";""
"16";"";"pT4";"1 (0.2)";"24 (0.2)";"";""
"17";"BC subtype";"HER2+";"41 (6.1)";"1677 (11.4)";"<0.001";""
"18";"";"luminal";"583 (86.2)";"11410 (77.5)";"";""
"19";"";"TNBC";"52 (7.7)";"1630 (11.1)";"";""
"20";"ER status";"negative";"70 (10.2)";"2503 (16.8)";"<0.001";""
"21";"";"positive";"618 (89.8)";"12411 (83.2)";"";""
"22";"PR status";"negative";"170 (25.6)";"4677 (33.0)";"<0.001";""
"23";"";"positive";"494 (74.4)";"9500 (67.0)";"";""
"24";"HR status";"negative";"62 (9.0)";"2341 (15.7)";"<0.001";""
"25";"";"positive";"627 (91.0)";"12568 (84.3)";"";""
"26";"HER2 status";"negative";"635 (93.9)";"13061 (88.6)";"<0.001";""
"27";"";"positive";"41 (6.1)";"1677 (11.4)";"";""
"28";"intensity of ER positivity";"+";"44 (7.2)";"1055 (8.6)";"0.398";""
"29";"";"++";"168 (27.5)";"3480 (28.2)";"";""
"30";"";"+++";"400 (65.4)";"7791 (63.2)";"";""
"31";"percentage of ER positivity";"";"90.0 [71.2, 100.0]";"90.0 [60.0, 100.0]";"<0.001";"nonnorm"
"32";"intensity of PR positivity";"+";"64 (12.1)";"1177 (11.6)";"0.874";""
"33";"";"++";"169 (32.1)";"3209 (31.6)";"";""
"34";"";"+++";"294 (55.8)";"5774 (56.8)";"";""
"35";"percentage of PR positivity";"";"60.0 [5.0, 90.0]";"40.0 [0.0, 80.0]";"<0.001";"nonnorm"
"36";"Invasive or DCIS";"DCIS";"96 (14.5)";"1955 (13.0)";"0.269";""
"37";"";"Invasive";"565 (85.5)";"13123 (87.0)";"";""
"38";"DCIS component";"DCIS";"474 (69.5)";"6940 (68.8)";"0.726";""
"39";"";"No DCIS";"208 (30.5)";"3150 (31.2)";"";""
"40";"histological size";"";"17.7 (12.8)";"17.7 (12.4)";"0.985";""
"41";"number of positive nodes";"";"0.9 (2.5)";"0.9 (2.6)";"0.933";""
"42";"grade";"1";"196 (28.6)";"3473 (23.7)";"<0.001";""
"43";"";"2";"346 (50.5)";"6877 (46.9)";"";""
"44";"";"3";"143 (20.9)";"4309 (29.4)";"";""
"45";"number mitoses";"";"3.7 (5.0)";"4.7 (5.8)";"<0.001";""
"46";"lymphovascular invasion";"No";"425 (78.8)";"8781 (71.6)";"<0.001";""
"47";"";"Yes";"114 (21.2)";"3482 (28.4)";"";""
"48";"histological type";"lobular";"122 (15.2)";"2068 (12.0)";"0.003";""
"49";"";"NST";"517 (64.4)";"12047 (69.6)";"";""
"50";"";"others";"164 (20.4)";"3184 (18.4)";"";""
"51";"multifocality";"No / NA";"594 (73.5)";"13791 (79.3)";"<0.001";""
"52";"";"Yes";"214 (26.5)";"3591 (20.7)";"";""
"53";"pCR status";"No pCR";"114 (82.6)";"1044 (76.3)";"0.114";""
"54";"";"pCR";"24 (17.4)";"325 (23.7)";"";""
"55";"breast surgery";"Lumpectomy";"479 (59.3)";"11767 (67.7)";"<0.001";""
"56";"";"Mastectomy";"321 (39.7)";"5325 (30.6)";"";""
"57";"";"No surgery";"8 (1.0)";"290 (1.7)";"";""
"58";"axillar surgery";"AND";"419 (52.2)";"10476 (63.2)";"<0.001";""
"59";"";"No axillary prelevement";"80 (10.0)";"1068 (6.4)";"";""
"60";"";"SND";"303 (37.8)";"5039 (30.4)";"";""
