"";"names_variable_clean";"level";"Overall"
"1";"";"n";"626"
"2";"diagnostic modality";"Non-palpable";"355 (59.1)"
"3";"";"Palpable";"246 (40.9)"
"4";"clinical size";"";"31.4 (21.6)"
"5";"clinical T stage";"T0 or pTis";"248 (39.9)"
"6";"";"T1";"173 (27.9)"
"7";"";"T2";"147 (23.7)"
"8";"";"T3";"31 (5.0)"
"9";"";"T4";"22 (3.5)"
"10";"clinical N stage";"cN0";"552 (88.5)"
"11";"";"cN1/N2/N3";"72 (11.5)"
"12";"pathological T stage";"pT1";"357 (73.8)"
"13";"";"pT2";"111 (22.9)"
"14";"";"pT3";"15 (3.1)"
"15";"";"pT4";"1 (0.2)"
"16";"BC subtype";"luminal";"538 (87.6)"
"17";"";"TNBC";"44 (7.2)"
"18";"";"HER2+";"32 (5.2)"
"19";"ER status";"negative";"56 (9.1)"
"20";"";"positive";"562 (90.9)"
"21";"PR status";"negative";"145 (24.3)"
"22";"";"positive";"452 (75.7)"
"23";"HER2 status";"negative";"582 (94.8)"
"24";"";"positive";"32 (5.2)"
"25";"intensity of ER positivity";"+";"41 (7.5)"
"26";"";"++";"156 (28.4)"
"27";"";"+++";"352 (64.1)"
"28";"percentage of ER positivity";"";"78.2 (30.6)"
"29";"intensity of PR positivity";"+";"58 (12.2)"
"30";"";"++";"149 (31.3)"
"31";"";"+++";"269 (56.5)"
"32";"percentage of PR positivity";"";"51.2 (38.6)"
"33";"Invasive or DCIS";"Invasive";"485 (100.0)"
"34";"DCIS component";"DCIS";"414 (68.2)"
"35";"";"No DCIS";"193 (31.8)"
"36";"histological size";"";"17.6 (13.0)"
"37";"number of positive nodes";"";"1.0 (2.6)"
"38";"grade";"1";"181 (29.8)"
"39";"";"2";"311 (51.2)"
"40";"";"3";"116 (19.1)"
"41";"lymphovascular invasion";"No";"376 (80.0)"
"42";"";"Yes";"94 (20.0)"
"43";"histological type";"lobular";"114 (18.4)"
"44";"";"NST";"443 (71.3)"
"45";"";"others";"64 (10.3)"
"46";"multifocality";"No / NA";"440 (70.3)"
"47";"";"Yes";"186 (29.7)"
"48";"breast surgery";"Lumpectomy";"359 (57.3)"
"49";"";"Mastectomy";"259 (41.4)"
"50";"";"No surgery";"8 (1.3)"
"51";"axillar surgery";"AND";"359 (57.9)"
"52";"";"No axillary prelevement";"13 (2.1)"
"53";"";"SND";"248 (40.0)"
