"";"Variable name";"level";"Overall";"No";"Yes";"p";"test"
"1";"";"n";"626";"74 (11.8)";"26 (4.2)";"";""
"2";"diagnostic modality";"Non-palpable";"355 (59.1)";"45 (62.5)";"8 (33.3)";"0.024";""
"3";"";"Palpable";"246 (40.9)";"27 (37.5)";"16 (66.7)";"";""
"4";"clinical T stage";"T0 or pTis";"248 (39.9)";"35 (47.9)";"8 (30.8)";"0.033";""
"5";"";"T1";"173 (27.9)";"22 (30.1)";"4 (15.4)";"";""
"6";"";"T2";"147 (23.7)";"12 (16.4)";"12 (46.2)";"";""
"7";"";"T3";"31 (5.0)";"1 (1.4)";"1 (3.8)";"";""
"8";"";"T4";"22 (3.5)";"3 (4.1)";"1 (3.8)";"";""
"9";"clinical N stage";"cN0";"552 (88.5)";"64 (86.5)";"19 (73.1)";"0.207";""
"10";"";"cN1/N2/N3";"72 (11.5)";"10 (13.5)";"7 (26.9)";"";""
"11";"BC subtype";"luminal";"538 (87.6)";"61 (83.6)";"11 (44.0)";"<0.001";""
"12";"";"TNBC";"44 (7.2)";"5 (6.8)";"14 (56.0)";"";""
"13";"";"HER2+";"32 (5.2)";"7 (9.6)";"0 (0.0)";"";""
"14";"Concordance";"Concordant";"512 (84.8)";"52 (72.2)";"22 (91.7)";"0.092";""
"15";"";"Discordant";"92 (15.2)";"20 (27.8)";"2 (8.3)";"";""
"16";"DCIS component";"DCIS";"414 (68.2)";"53 (73.6)";"15 (60.0)";"0.304";""
"17";"";"No DCIS";"193 (31.8)";"19 (26.4)";"10 (40.0)";"";""
"18";"tumor cellularity ";"";"65.8 (17.2)";"64.2 (19.3)";"72.9 (12.0)";"0.137";""
"19";"grade";"1";"181 (29.8)";"19 (25.7)";"1 (4.2)";"<0.001";""
"20";"";"2";"311 (51.2)";"38 (51.4)";"7 (29.2)";"";""
"21";"";"3";"116 (19.1)";"17 (23.0)";"16 (66.7)";"";""
"22";"IT TILs (%)";"";"6.5 (7.6)";"8.0 (7.4)";"11.9 (11.1)";"0.190";""
"23";"str TILs (%)";"";"13.3 (12.5)";"15.5 (12.5)";"16.9 (14.1)";"0.750";""
"24";"histological type";"lobular";"114 (18.4)";"10 (13.5)";"1 (3.8)";"0.365";""
"25";"";"NST";"443 (71.3)";"57 (77.0)";"23 (88.5)";"";""
"26";"";"others";"64 (10.3)";"7 (9.5)";"2 (7.7)";"";""
"27";"multifocality";"No / NA";"438 (70.0)";"46 (62.2)";"18 (69.2)";"0.683";""
"28";"";"Yes";"188 (30.0)";"28 (37.8)";"8 (30.8)";"";""
"29";"Chemotherapy regimen";"Anthra-taxanes";"275 (43.9)";"48 (64.9)";"18 (69.2)";"0.030";""
"30";"";"Anthracyclines";"44 (7.0)";"8 (10.8)";"6 (23.1)";"";""
"31";"";"No";"293 (46.8)";"16 (21.6)";"0 (0.0)";"";""
"32";"";"Taxanes";"14 (2.2)";"2 (2.7)";"2 (7.7)";"";""
