"";"PT1_L";"PT1_R";"PT2_L";"PT2_R";"PT3_L";"PT3_R";"PT4_L";"PT4_R";"PT5_L";"PT5_R";"PT6A_L";"PT6A_R";"PT6B_L";"PT6B_R";"RD1_L";"RD3_L";"RD3_R";"RD4_R";"RD5_R";"RD6B_R"
"A1BG";283;125;283;198;599;467;1357;573;381;168;363;398;571;459;295;506;583;724;275;481
"A1BG-AS1";398;207;687;358;687;812;1298;741;402;390;528;959;541;616;258;798;956;730;420;483
"A1CF";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0
"A2M";133278;40053;14369;20659;68081;25403;36527;26122;231823;13377;43728;36389;55158;104114;232445;135642;67599;106990;54655;149043
"A2M-AS1";77;278;795;192;221;255;36;203;42;85;43;147;122;239;160;305;356;351;125;275
"A2ML1";3603;16232;1050;17837;6;5;65;10;2;78;22;2;13;68;4021;127;23;27;98;32
"A2MP1";23;20;29;29;17;7;14;21;290;1;8;9;14;27;8;33;14;48;15;40
"A3GALT2";2;4;3;1;0;2;2;7;2;6;0;5;2;0;2;5;9;3;6;0
"A4GALT";775;449;535;1480;617;514;428;653;231;144;891;502;446;1214;917;1805;1264;2040;930;1863
"A4GNT";0;1;0;0;0;1;2;0;0;0;0;2;0;3;0;1;0;0;0;1
"AA06";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"AAAS";3183;2672;3013;2159;3090;5043;2871;3524;898;2266;2148;4095;2554;3297;2921;3913;4895;3970;2059;2509
"AACS";4045;3321;4449;3249;3205;3441;3455;1997;2960;2874;3751;2729;3817;2587;3955;3670;1870;2454;1887;1626
"AACSP1";132;149;146;60;0;3;30;0;2;1;14;12;40;3;123;3;15;1;0;6
"AADAC";14;5;0;4;18;0;3;11;2;1;2;1;3;14;84;114;7;3;52;27
"AADACL2";0;0;0;1;0;2;0;0;2;0;0;3;0;0;0;5;0;0;0;2
"AADACL2-AS1";0;1;0;3;9;2;0;0;0;0;2;4;1;4;29;7;0;0;0;8
"AADACL3";0;6;173;2;0;0;0;2;1;0;0;0;0;0;0;0;0;2;3;0
"AADACL4";0;0;0;0;1;0;0;1;0;0;0;0;0;2;0;0;0;2;1;6
"AADACP1";4;11;2;0;33;2;0;3;5;1;1;5;4;10;12;17;3;9;4;48
"AADAT";461;561;100;1557;321;504;228;654;181;92;709;621;1145;1010;348;490;625;727;217;555
"AAED1";1851;516;1606;736;655;661;842;596;307;175;438;532;451;780;1425;1350;953;1121;403;1042
