"";"variable_coded";"variable";"variable_quali";"var_qual_unique";"levels";"number_per_level";"mean_value";"pvalue_vs_ref_class_t_test";"pvalue_ANOVA";"pvalue_ANOVA2";"post_hoc_comp_class";"p_val_Tukey";"median";"p_Kruskal";"non_normal";"effective_less_30";"test";"pval_global_final";"pval_global_clean";"test_clean";"pvalue_vs_ref_class_clean";"p_signif"
"<40";"age_cl_10_2";"Pre-NAC str TILs";"Age class";"Age class";"<40";"9";"23.9";"reference class";"0.139";"0.139";"";"";"25";"0.017";"non-normal";"effective less 30";"Kruskal";"0.017";"0.017";"Kruskal";"";""
"[40-50[";"age_cl_10_2";"Pre-NAC str TILs";"Age class";"";"[40-50[";"46";"13";"0.018";"0.139";"";"";"";"10";"0.017";"non-normal";"effective less 30";"Kruskal";"0.017";"";"";"";""
"[50-60[";"age_cl_10_2";"Pre-NAC str TILs";"Age class";"";"[50-60[";"76";"13.5";"0.019";"0.139";"";"";"";"10";"0.017";"non-normal";"effective less 30";"Kruskal";"0.017";"";"";"";""
"[60-70[";"age_cl_10_2";"Pre-NAC str TILs";"Age class";"";"[60-70[";"80";"12.5";"0.01";"0.139";"";"";"";"10";"0.017";"non-normal";"effective less 30";"Kruskal";"0.017";"";"";"";""
">=70";"age_cl_10_2";"Pre-NAC str TILs";"Age class";"";">=70";"64";"12.6";"0.012";"0.139";"";"";"";"10";"0.017";"non-normal";"effective less 30";"Kruskal";"0.017";"";"";"";""
"18.5-24.9";"bmi_4cl";"Pre-NAC str TILs";"BMI class";"BMI class";"18.5-24.9";"137";"14.6";"reference class";"0.408";"0.408";"";"";"10";"0.776";"non-normal";"effective less 30";"Kruskal";"0.776";"0.776";"Kruskal";"";""
"<18.5";"bmi_4cl";"Pre-NAC str TILs";"BMI class";"";"<18.5";"6";"12.5";"0.693";"0.408";"";"";"";"10";"0.776";"non-normal";"effective less 30";"Kruskal";"0.776";"";"";"";""
"25-29.9";"bmi_4cl";"Pre-NAC str TILs";"BMI class";"";"25-29.9";"80";"12.8";"0.317";"0.408";"";"";"";"10";"0.776";"non-normal";"effective less 30";"Kruskal";"0.776";"";"";"";""
">=30";"bmi_4cl";"Pre-NAC str TILs";"BMI class";"";">=30";"50";"11.2";"0.108";"0.408";"";"";"";"10";"0.776";"non-normal";"effective less 30";"Kruskal";"0.776";"";"";"";""
"Premenopausal";"menop";"Pre-NAC str TILs";"Menopausal status";"Menopausal status";"Premenopausal";"77";"14.5";"reference class";"0.196";"0.196";"";"";"10";"0.137";"non-normal";"";"Kruskal";"0.137";"0.137";"Kruskal";"";""
"Postmenopausal";"menop";"Pre-NAC str TILs";"Menopausal status";"";"Postmenopausal";"187";"12.3";"0.196";"0.196";"";"";"";"10";"0.137";"non-normal";"";"Kruskal";"0.137";"";"";"";""
"No...12";"BRCA_mut";"Pre-NAC str TILs";"BRCA mutation";"BRCA mutation";"No";"26";"15.5";"reference class";"0.75";"0.75";"";"";"10";"0.823";"non-normal";"effective less 30";"Kruskal";"0.823";"0.823";"Kruskal";"";""
